tfm_id,tfm_desc,site_desc,longitude,latitude,tfm_typ_de,movement_t,declared_r,local_road,aadt_all_vehicles,aadt_truck,percent_trucks,last_year
44842,CASTERTON-NARRACOORTE RD E BD 3.1 KM W OF APSLEY-LANGKOOP RD @ 76.4KM POS,CASTERTON-NARRACOORTE RD 3.1 KM W OF APSLEY-LANGKOOP RD @ 76.4KM POS,141.0068869984638,-37.07034437325587,MIDBLOCK,All Moves,CASTERTON-NARACOORTE ROAD,CASTERTON-NARACOORTE ROAD,50,10,0.24,2014
40885,HAMILTON HWY E BD 300M W OF KINGS LANE @151.0KM FROM GEELONG,HAMILTON HWY 300M W OF KINGS LANE @151.0KM FROM GEELONG,142.7741702864388,-38.05169430432611,MIDBLOCK,All Moves,HAMILTON HIGHWAY,HAMILTON HIGHWAY,0,80,0.0,2014
38550,STURT ST EA of DRUMMOND ST,DRUMMOND ST & STURT ST,143.8474086847484,-37.561072202960915,INTERSECTION,All Moves,DRUMMOND STREET,DRUMMOND STREET S,0,0,0.0,0
45242,MILLEARA RD S of WOORITE PL,MILLEARA RD & WOORITE PL,144.865515945716,-37.7304441948693,INTERSECTION,All Moves,ASCOT VALE-KEILOR ROAD,MILLEARA ROAD,6800,310,0.05,1997
39393,BRUNSWICK ST S of ALEXANDRA PDE,ALEXANDRA PDE & QUEENS PDE,144.97952257801305,-37.79209069859345,INTERSECTION,All Moves,BRUNSWICK STREET,BRUNSWICK STREET,6900,0,0.0,1990
50476,OLD CALDER HWY NWBD NW of KEILOR PARK DR,KEILOR PARK DR N OF ELY ST,144.84858984403337,-37.72655634548746,INTERSECTION,All Moves,KEILOR-MELTON ROAD,OLD CALDER HIGHWAY,5700,190,0.03,1997
53868,NEPEAN HWY SW of BELEURA HILL RD,BELEURA HILL RD & NEPEAN HWY,145.0512478580915,-38.2244389757635,INTERSECTION,All Moves,NEPEAN HIGHWAY,NEPEAN HIGHWAY,16000,0,0.0,1990
41351,OLD MELBOURNE RD E BD 50M E OF WERRIBEE RIVER @ 2.1KM FROM BALLAN,OLD MELBOURNE RD 50M E OF WERRIBEE RIVER @ 2.1KM FROM BALLAN,144.24988638812638,-37.60037337376731,MIDBLOCK,All Moves,OLD MELBOURNE ROAD,OLD MELBOURNE ROAD,1200,110,0.09,2013
45430,WESTERN FWY (79.5KM)110KPH BEFORE STUDY W BD W OF BALLAN,WESTERN FWY (79.5KM)110KPH BEFORE STUDY W OF BALLAN,144.15678472105643,-37.58829347818337,MIDBLOCK,All Moves,WESTERN FREEWAY,WESTERN FREEWAY,0,0,0.0,0
45891,CHAPEL ST S of ARTHUR ST,ARTHUR ST & CHAPEL ST,144.99510269622232,-37.84206580027108,INTERSECTION,All Moves,Missing Data,CHAPEL STREET,7600,0,0.0,1986
42194,GREAT ALPINE RD E BD 800M E OF HUME FWY @ 5.0KM FROM WANGARATTA,GREAT ALPINE RD 800M E OF HUME FWY @ 5.0KM FROM WANGARATTA,146.38061031965483,-36.37085067593146,MIDBLOCK,All Moves,GREAT ALPINE ROAD,GREAT ALPINE ROAD,1800,130,0.07,2014
